link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,VDF_alpha1,VDF_beta1
3346,Madison Street,399317755,1586,586,1,"LINESTRING (-76.504375 42.445489, -76.5042848 42.4455293, -76.503424 42.4459137, -76.503336 42.445953)",1,99.65,unclassified,20,30,1,600,auto,,0.15,4.0
3347,Madison Street,399317755,4,1471,1,"LINESTRING (-76.50126 42.4468844, -76.5012016 42.4469121)",1,5.70,unclassified,20,30,1,600,auto,,0.15,4.0
3348,Madison Street,399317755,4,903,1,"LINESTRING (-76.50126 42.4468844, -76.5013229 42.4468612, -76.5021896 42.4464624, -76.502281 42.446422)",1,98.32,unclassified,20,30,1,600,auto,,0.15,4.0
3349,Madison Street,399317755,1471,4,1,"LINESTRING (-76.5012016 42.4469121, -76.50126 42.4468844)",1,5.70,unclassified,20,30,1,600,auto,,0.15,4.0
3350,Madison Street,399317755,586,1586,1,"LINESTRING (-76.503336 42.445953, -76.503424 42.4459137, -76.5042848 42.4455293, -76.504375 42.445489)",1,99.65,unclassified,20,30,1,600,auto,,0.15,4.0
3351,Madison Street,399317755,903,586,1,"LINESTRING (-76.502281 42.446422, -76.502374 42.4463807, -76.5032429 42.4459944, -76.503336 42.445953)",1,101.06,unclassified,20,30,1,600,auto,,0.15,4.0
3352,Cascadilla Street,399317756,357,810,1,"LINESTRING (-76.504963 42.4444393, -76.5048936 42.4444416, -76.504187 42.444452)",1,63.69,tertiary,5,40,1,900,auto,,0.15,4.0
3353,Cascadilla Street,399317756,810,357,1,"LINESTRING (-76.504187 42.444452, -76.5048936 42.4444416, -76.504963 42.4444393)",1,63.69,tertiary,5,40,1,900,auto,,0.15,4.0
3354,Cascadilla Street,399317757,810,1587,1,"LINESTRING (-76.504187 42.444452, -76.5040908 42.444455, -76.50371 42.444467, -76.503548 42.444469)",1,52.47,tertiary,5,40,1,900,auto,,0.15,4.0
3355,Cascadilla Street,399317757,1587,810,1,"LINESTRING (-76.503548 42.444469, -76.50371 42.444467, -76.5040908 42.444455, -76.504187 42.444452)",1,52.47,tertiary,5,40,1,900,auto,,0.15,4.0
3356,Wood Street,399317761,1665,405,1,"LINESTRING (-76.5035863 42.4327571, -76.5034791 42.4327604, -76.5014956 42.4328221, -76.5013983 42.4328254)",1,179.73,unclassified,20,30,1,600,auto,,0.15,4.0
3357,Wood Street,399317761,405,968,1,"LINESTRING (-76.5013983 42.4328254, -76.5012869 42.4328256, -76.500638 42.4328487, -76.5005762 42.432855, -76.5005149 42.4328716, -76.500464 42.432906)",1,78.60,unclassified,20,30,1,600,auto,,0.15,4.0
3358,Wood Street,399317761,405,1665,1,"LINESTRING (-76.5013983 42.4328254, -76.5014956 42.4328221, -76.5034791 42.4327604, -76.5035863 42.4327571)",1,179.73,unclassified,20,30,1,600,auto,,0.15,4.0
3359,Wood Street,399317761,968,405,1,"LINESTRING (-76.500464 42.432906, -76.5005149 42.4328716, -76.5005762 42.432855, -76.500638 42.4328487, -76.5012869 42.4328256, -76.5013983 42.4328254)",1,78.60,unclassified,20,30,1,600,auto,,0.15,4.0
3360,South Plain Street,399317763,1665,1021,1,"LINESTRING (-76.5035863 42.4327571, -76.5035905 42.4328364, -76.5036204 42.4334, -76.503623 42.43345)",1,77.11,tertiary,5,48,1,900,auto,,0.15,4.0
3361,South Plain Street,399317763,1021,1245,1,"LINESTRING (-76.503623 42.43345, -76.5036232 42.4334533, -76.5036436 42.4338088, -76.503646 42.43385)",1,44.52,tertiary,5,48,1,900,auto,,0.15,4.0
3362,South Plain Street,399317763,1245,1286,1,"LINESTRING (-76.503646 42.43385, -76.5036501 42.4339249, -76.5036514 42.4339364)",1,9.62,tertiary,5,48,1,900,auto,,0.15,4.0
3363,South Plain Street,399317763,1021,1665,1,"LINESTRING (-76.503623 42.43345, -76.5036204 42.4334, -76.5035905 42.4328364, -76.5035863 42.4327571)",1,77.11,tertiary,5,48,1,900,auto,,0.15,4.0
3364,South Plain Street,399317763,1245,1021,1,"LINESTRING (-76.503646 42.43385, -76.5036436 42.4338088, -76.5036232 42.4334533, -76.503623 42.43345)",1,44.52,tertiary,5,48,1,900,auto,,0.15,4.0
3365,South Plain Street,399317763,1286,1245,1,"LINESTRING (-76.5036514 42.4339364, -76.5036501 42.4339249, -76.503646 42.43385)",1,9.62,tertiary,5,48,1,900,auto,,0.15,4.0
3366,West Court Street,399317765,808,1565,1,"LINESTRING (-76.504082 42.442449, -76.5039759 42.4424525, -76.5033463 42.4424703, -76.5020219 42.4425104, -76.5019877 42.442511, -76.501876 42.442514)",1,181.16,tertiary,5,24,1,900,auto,,0.15,4.0
