name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,267,213420664,,-76.5375060,42.4714076,,,,,
,268,213437683,,-76.5061787,42.4401835,,,,,
,269,213445957,,-76.5062240,42.4410970,,,,,
,270,213445955,signal,-76.5061340,42.4393240,,,,,
,271,213446111,,-76.4920841,42.4497094,,,,,
,272,213446171,,-76.4946290,42.4521645,,,,,
,273,213447279,signal,-76.5152661,42.4416865,,,,,
,274,563077561,,-76.5146121,42.4439910,,,,,
,275,213447726,,-76.4902525,42.4671771,,,,,
,276,213447758,,-76.4889324,42.4686025,,,,,
,277,213447782,,-76.4881250,42.4703860,,,,,
,278,213447816,,-76.4844590,42.4708250,,,,,
,279,213448132,,-76.4830930,42.4425380,,,,,
,280,213448134,,-76.4830610,42.4417501,,,,,
,281,213448148,,-76.4907735,42.4703255,,,,,
,282,213448154,,-76.4907119,42.4699856,,,,,
,283,213448314,,-76.4905107,42.4683719,,,,,
,284,213448339,,-76.4891707,42.4713869,,,,,
,285,213448373,,-76.4841920,42.4713100,,,,,
,286,213448390,,-76.4803311,42.4701187,,,,,
,287,3281285734,,-76.4888276,42.4220137,,,,,
,288,3281285735,,-76.4887633,42.4221578,,,,,
,289,6760584655,,-76.4903205,42.4215544,,,,,
,290,12230102167,,-76.4902254,42.4215253,,,,,
,291,3281285733,,-76.4889886,42.4218283,,,,,
,292,3281285732,,-76.4890394,42.4217811,,,,,
,293,3281285737,,-76.4887295,42.4224304,,,,,
,294,3281285738,,-76.4887521,42.4225538,,,,,
,295,3281285736,,-76.4887360,42.4222856,,,,,
,296,3281285741,,-76.4888475,42.4229812,,,,,
,297,3281285789,,-76.4892804,42.4261347,,,,,
,298,6760584675,,-76.4887794,42.4226780,,,,,
,299,12230110114,,-76.4887709,42.4226393,,,,,
,300,9206327773,,-76.4901303,42.4215011,,,,,
,301,9206327772,,-76.4900042,42.4214813,,,,,
,302,6760584642,,-76.4909698,42.4217387,,,,,
,303,3281285731,,-76.4908265,42.4217324,,,,,
,304,3281285730,,-76.4906577,42.4216896,,,,,
,305,6760584663,,-76.4905755,42.4216584,,,,,
,306,3281285728,,-76.4904856,42.4216243,,,,,
,307,213448624,,-76.4933193,42.4211378,,,,,
,308,6760584629,,-76.4918889,42.4214200,,,,,
,309,3281285729,,-76.4891745,42.4216787,,,,,
,310,12230102165,,-76.4899116,42.4214765,,,,,
,311,9206327771,,-76.4897818,42.4214797,,,,,
,312,3281285723,,-76.4896688,42.4214904,,,,,
,313,12230102166,,-76.4895800,42.4215070,,,,,
,314,9206327770,,-76.4895000,42.4215251,,,,,
,315,3281285727,,-76.4893763,42.4215656,,,,,
,316,12230110115,,-76.4892682,42.4216188,,,,,
,317,6760860551,,-76.4972244,42.4200295,,,,,
,318,3572200193,,-76.4963828,42.4204185,,,,,
,319,3572200196,,-76.4963521,42.4204418,,,,,
,320,213483688,,-76.4989007,42.4195986,,,,,
,321,213447327,,-76.5139699,42.4454225,,,,,
,322,213447349,,-76.5128346,42.4487723,,,,,
,323,213447394,,-76.5133056,42.4519733,,,,,
,324,213449576,,-76.4701282,42.4532779,,,,,
,325,213450064,,-76.4554950,42.4694360,,,,,
,326,213450068,,-76.4555360,42.4703950,,,,,
,327,213450070,,-76.4555820,42.4713580,,,,,
,328,213450117,,-76.4953870,42.4252050,,,,,
,329,213450218,,-76.4970198,42.4285412,,,,,
,330,213450231,,-76.4994115,42.4214779,,,,,
,331,213450245,,-76.4985242,42.4215128,,,,,
,332,213450385,,-76.4878730,42.4457230,,,,,
,333,213450402,,-76.4885377,42.4467190,,,,,
,334,213450430,,-76.4867250,42.4596240,,,,,
,335,213450557,,-76.4632884,42.4805118,,,,,
,336,213450549,,-76.4632189,42.4787030,,,,,
,337,213450714,,-76.4849470,42.4584680,,,,,
,338,213451315,,-76.4712570,42.4718780,,,,,
,339,213451317,,-76.4712920,42.4730660,,,,,
,340,213451321,,-76.4713270,42.4740650,,,,,
,341,213451340,,-76.4786154,42.4740335,,,,,
,342,213452157,,-76.4849570,42.3839230,,,,,
,343,213452229,,-76.4829990,42.4033330,,,,,
,344,213452335,,-76.4965580,42.4590150,,,,,
,345,213452370,,-76.4962580,42.4599600,,,,,
,346,213452409,,-76.4952170,42.4585590,,,,,
,347,213452457,,-76.4948621,42.4627289,,,,,
,348,213452938,,-76.4685790,42.4719170,,,,,
,349,213452983,,-76.4665310,42.4719560,,,,,
,350,213453065,,-76.4851749,42.4230861,,,,,
,351,213453086,,-76.4825252,42.4235193,,,,,
,352,213453088,,-76.4820620,42.4235590,,,,,
,353,213453206,,-76.5248518,42.4299078,,,,,
,354,5403556660,,-76.5183046,42.4361363,,,,,
,355,213453267,,-76.5153837,42.4410302,,,,,
,356,213449469,signal,-76.5151700,42.4412000,,,,,
,357,213454283,,-76.5049630,42.4444393,,,,,
,358,213454284,,-76.5054290,42.4450210,,,,,
,359,213454294,,-76.5061850,42.4459520,,,,,
,360,213454297,,-76.5069160,42.4468560,,,,,
,361,213454371,,-76.4569760,42.4772040,,,,,
,362,213454380,,-76.4576270,42.4772530,,,,,
,363,213454360,,-76.4575360,42.4755250,,,,,
,364,5195347677,,-76.4798035,42.4454943,,,,,
,365,213454438,signal,-76.4797653,42.4476071,,,,,
,366,213454513,,-76.5012103,42.4622700,,,,,
,367,213422445,,-76.5016201,42.4631869,,,,,
,368,213454512,,-76.5012030,42.4621523,,,,,
,369,213454449,,-76.5048659,42.4604410,,,,,
,370,213454618,,-76.4808140,42.4384390,,,,,
,371,213454633,,-76.4811530,42.4387270,,,,,
,372,213454656,,-76.4832130,42.4382860,,,,,
,373,213455021,,-76.4290270,42.4448910,,,,,
,374,213410579,,-76.4429020,42.4441140,,,,,
,375,213455047,,-76.4489410,42.4446996,,,,,
,376,213455169,,-76.4534390,42.4715830,,,,,
,377,213455185,,-76.4542790,42.4714060,,,,,
,378,213455191,,-76.4568847,42.4713710,,,,,
,379,213456405,,-76.4527096,42.4232958,,,,,
,380,213456408,,-76.4521910,42.4242275,,,,,
,381,213456390,,-76.4530788,42.4219759,,,,,
,382,213456441,,-76.4619192,42.4739403,,,,,
,383,213448486,,-76.4616303,42.4672255,,,,,
,384,213456463,,-76.4895547,42.4792816,,,,,
,385,213456466,,-76.4893618,42.4796113,,,,,
,386,213456694,,-76.4994170,42.4472250,,,,,
,387,213456686,,-76.5009990,42.4469955,,,,,
,388,213456828,,-76.5226470,42.4336490,,,,,
,389,213456842,,-76.5206190,42.4354770,,,,,
,390,213456865,,-76.5193860,42.4380190,,,,,
,391,213456974,,-76.5256528,42.4557084,,,,,
,392,213456995,,-76.5264670,42.4562470,,,,,
,393,213456944,,-76.5241787,42.4553345,,,,,
,394,213456916,,-76.5226950,42.4546580,,,,,
,395,213449564,,-76.5215070,42.4545030,,,,,
,396,213457012,signal,-76.4670121,42.4786294,,,,,
,397,4890502027,,-76.4665576,42.4786332,,,,,
,398,213457676,,-76.5044292,42.4874550,,,,,
,399,7767877955,,-76.4886062,42.4881093,,,,,
,400,213457960,,-76.4541660,42.4684530,,,,,
,401,213457969,,-76.4532960,42.4684240,,,,,
