link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
36,36,0,30,29,-1,-1,6,residential,0,0.044537,30.000000,25.500000,0.089074,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4948911 42.4637194, -76.4948368 42.4637384, -76.4947792 42.4637565, -76.4947027 42.4637762, -76.4946298 42.4637901, -76.4945659 42.4637970, -76.4944930 42.4638003, -76.4944180 42.4637930, -76.4943430 42.4637760, -76.4942420 42.4637370, -76.4940853 42.4636613)",
37,37,0,29,31,-1,-1,6,residential,0,0.086656,30.000000,25.500000,0.173313,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4940853 42.4636613, -76.4940612 42.4637013, -76.4940371 42.4637555, -76.4940043 42.4638304, -76.4939819 42.4639111, -76.4939753 42.4639801, -76.4939820 42.4640453, -76.4939983 42.4641105, -76.4940229 42.4641840, -76.4940408 42.4642197, -76.4940686 42.4642535, -76.4941227 42.4642891, -76.4941813 42.4643145, -76.4942511 42.4643356, -76.4943821 42.4643639, -76.4944651 42.4643875, -76.4945215 42.4644070, -76.4945632 42.4644366, -76.4946300 42.4645328, -76.4946765 42.4646060, -76.4946966 42.4646377)",
38,38,0,31,29,-1,-1,6,residential,0,0.086656,30.000000,25.500000,0.173313,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4946966 42.4646377, -76.4946765 42.4646060, -76.4946300 42.4645328, -76.4945632 42.4644366, -76.4945215 42.4644070, -76.4944651 42.4643875, -76.4943821 42.4643639, -76.4942511 42.4643356, -76.4941813 42.4643145, -76.4941227 42.4642891, -76.4940686 42.4642535, -76.4940408 42.4642197, -76.4940229 42.4641840, -76.4939983 42.4641105, -76.4939820 42.4640453, -76.4939753 42.4639801, -76.4939819 42.4639111, -76.4940043 42.4638304, -76.4940371 42.4637555, -76.4940612 42.4637013, -76.4940853 42.4636613)",
39,39,0,31,31,-1,-1,6,residential,0,0.027502,30.000000,25.500000,0.055003,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4946966 42.4646377, -76.4947670 42.4646708, -76.4947918 42.4646871, -76.4948092 42.4647046, -76.4948173 42.4647257, -76.4948199 42.4647455, -76.4948112 42.4647634, -76.4947952 42.4647763, -76.4947777 42.4647837, -76.4947569 42.4647843, -76.4947237 42.4647796, -76.4946984 42.4647679, -76.4946835 42.4647494, -76.4946784 42.4647250, -76.4946802 42.4647039, -76.4946966 42.4646377)",
40,40,0,31,31,-1,-1,6,residential,0,0.027502,30.000000,25.500000,0.055003,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4946966 42.4646377, -76.4946802 42.4647039, -76.4946784 42.4647250, -76.4946835 42.4647494, -76.4946984 42.4647679, -76.4947237 42.4647796, -76.4947569 42.4647843, -76.4947777 42.4647837, -76.4947952 42.4647763, -76.4948112 42.4647634, -76.4948199 42.4647455, -76.4948173 42.4647257, -76.4948092 42.4647046, -76.4947918 42.4646871, -76.4947670 42.4646708, -76.4946966 42.4646377)",
41,41,0,32,33,-1,-1,6,residential,0,0.104730,30.000000,25.500000,0.209459,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5287400 42.4599950, -76.5286100 42.4600860, -76.5285730 42.4601087, -76.5285120 42.4601460, -76.5284882 42.4601562, -76.5284737 42.4601624, -76.5282981 42.4602371, -76.5282811 42.4602450, -76.5281760 42.4602900, -76.5280826 42.4603215, -76.5280009 42.4603490, -76.5278290 42.4604070, -76.5277250 42.4604310, -76.5276903 42.4604346, -76.5276180 42.4604420, -76.5275090 42.4604480, -76.5274000 42.4604450, -76.5272670 42.4604280, -76.5271460 42.4604070, -76.5270250 42.4603690, -76.5269030 42.4603070)",
42,42,0,33,32,-1,-1,6,residential,0,0.104730,30.000000,25.500000,0.209459,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5269030 42.4603070, -76.5270250 42.4603690, -76.5271460 42.4604070, -76.5272670 42.4604280, -76.5274000 42.4604450, -76.5275090 42.4604480, -76.5276180 42.4604420, -76.5276903 42.4604346, -76.5277250 42.4604310, -76.5278290 42.4604070, -76.5280009 42.4603490, -76.5280826 42.4603215, -76.5281760 42.4602900, -76.5282811 42.4602450, -76.5282981 42.4602371, -76.5284737 42.4601624, -76.5284882 42.4601562, -76.5285120 42.4601460, -76.5285730 42.4601087, -76.5286100 42.4600860, -76.5287400 42.4599950)",
43,43,0,33,34,-1,-1,6,residential,0,0.044655,30.000000,25.500000,0.089310,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5269030 42.4603070, -76.5267850 42.4602190, -76.5267050 42.4601480, -76.5266300 42.4600630, -76.5265780 42.4599960, -76.5265650 42.4599560, -76.5265790 42.4599200, -76.5266170 42.4598920, -76.5266700 42.4598830, -76.5267632 42.4599457)",
44,44,0,34,33,-1,-1,6,residential,0,0.044655,30.000000,25.500000,0.089310,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5267632 42.4599457, -76.5266700 42.4598830, -76.5266170 42.4598920, -76.5265790 42.4599200, -76.5265650 42.4599560, -76.5265780 42.4599960, -76.5266300 42.4600630, -76.5267050 42.4601480, -76.5267850 42.4602190, -76.5269030 42.4603070)",
45,45,0,35,36,-1,-1,6,residential,0,0.084462,30.000000,25.500000,0.168925,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4907180 42.4554210, -76.4908200 42.4554240, -76.4909090 42.4554450, -76.4912430 42.4555810, -76.4914580 42.4556770, -76.4916550 42.4557780, -76.4918070 42.4558700, -76.4919820 42.4559850, -76.4921040 42.4560560)",
