start_time,end_time,link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed,FFTT,time_period,inflow_volume,outflow_volume,CA,CD,density,queue_length_in_process,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed,geometry,notes
2024-01-01 08:00:00,2024-01-01 09:00:00,15,network_wide,residential,14,13,-1,,0,0.101,30.000,0.202,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.202,0.000,30.000,"LINESTRING (-76.5344250 42.4148770, -76.5344170 42.4148050, -76.5343430 42.4147110, -76.5336780 42.4139950, -76.5335280 42.4138130, -76.5333820 42.4136480)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,16,network_wide,residential,15,16,-1,,0,0.091,30.000,0.183,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.183,0.000,30.000,"LINESTRING (-76.4787470 42.4741363, -76.4785900 42.4742256, -76.4782890 42.4744120, -76.4782298 42.4744479, -76.4780680 42.4745460, -76.4779050 42.4746550, -76.4778120 42.4747160, -76.4777080 42.4747752, -76.4776170 42.4748270, -76.4774440 42.4749100, -76.4773380 42.4749470)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,16,network_wide,residential,15,16,-1,,0,0.091,30.000,0.183,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.183,0.000,30.000,"LINESTRING (-76.4787470 42.4741363, -76.4785900 42.4742256, -76.4782890 42.4744120, -76.4782298 42.4744479, -76.4780680 42.4745460, -76.4779050 42.4746550, -76.4778120 42.4747160, -76.4777080 42.4747752, -76.4776170 42.4748270, -76.4774440 42.4749100, -76.4773380 42.4749470)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,17,network_wide,residential,16,15,-1,,0,0.091,30.000,0.183,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.183,0.000,30.000,"LINESTRING (-76.4773380 42.4749470, -76.4774440 42.4749100, -76.4776170 42.4748270, -76.4777080 42.4747752, -76.4778120 42.4747160, -76.4779050 42.4746550, -76.4780680 42.4745460, -76.4782298 42.4744479, -76.4782890 42.4744120, -76.4785900 42.4742256, -76.4787470 42.4741363)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,17,network_wide,residential,16,15,-1,,0,0.091,30.000,0.183,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.183,0.000,30.000,"LINESTRING (-76.4773380 42.4749470, -76.4774440 42.4749100, -76.4776170 42.4748270, -76.4777080 42.4747752, -76.4778120 42.4747160, -76.4779050 42.4746550, -76.4780680 42.4745460, -76.4782298 42.4744479, -76.4782890 42.4744120, -76.4785900 42.4742256, -76.4787470 42.4741363)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,18,network_wide,residential,16,17,-1,,0,0.066,30.000,0.132,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.132,0.000,30.000,"LINESTRING (-76.4773380 42.4749470, -76.4772570 42.4749750, -76.4771449 42.4750042, -76.4770570 42.4750270, -76.4768510 42.4750570, -76.4766410 42.4750780, -76.4766119 42.4750779, -76.4763652 42.4750772, -76.4763110 42.4750770, -76.4762140 42.4750790, -76.4761774 42.4750782, -76.4760720 42.4750760)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,18,network_wide,residential,16,17,-1,,0,0.066,30.000,0.132,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.132,0.000,30.000,"LINESTRING (-76.4773380 42.4749470, -76.4772570 42.4749750, -76.4771449 42.4750042, -76.4770570 42.4750270, -76.4768510 42.4750570, -76.4766410 42.4750780, -76.4766119 42.4750779, -76.4763652 42.4750772, -76.4763110 42.4750770, -76.4762140 42.4750790, -76.4761774 42.4750782, -76.4760720 42.4750760)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,19,network_wide,residential,17,16,-1,,0,0.066,30.000,0.132,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.132,0.000,30.000,"LINESTRING (-76.4760720 42.4750760, -76.4761774 42.4750782, -76.4762140 42.4750790, -76.4763110 42.4750770, -76.4763652 42.4750772, -76.4766119 42.4750779, -76.4766410 42.4750780, -76.4768510 42.4750570, -76.4770570 42.4750270, -76.4771449 42.4750042, -76.4772570 42.4749750, -76.4773380 42.4749470)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,19,network_wide,residential,17,16,-1,,0,0.066,30.000,0.132,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.132,0.000,30.000,"LINESTRING (-76.4760720 42.4750760, -76.4761774 42.4750782, -76.4762140 42.4750790, -76.4763110 42.4750770, -76.4763652 42.4750772, -76.4766119 42.4750779, -76.4766410 42.4750780, -76.4768510 42.4750570, -76.4770570 42.4750270, -76.4771449 42.4750042, -76.4772570 42.4749750, -76.4773380 42.4749470)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,20,network_wide,residential,17,18,-1,,0,0.073,30.000,0.145,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.145,0.000,30.000,"LINESTRING (-76.4760720 42.4750760, -76.4757684 42.4750666, -76.4757522 42.4750661, -76.4756220 42.4750620, -76.4755620 42.4750600, -76.4754880 42.4750610, -76.4753888 42.4750570, -76.4750630 42.4750440, -76.4749569 42.4750438, -76.4748659 42.4750415, -76.4747357 42.4750381, -76.4746540 42.4750360)",simulation-based
