  density,   flow,      speed,      queue
   0.00000,  29.95386,  60.00692,  -0.00000
   0.00000,  25.23069,  60.00574,  -0.00000
   0.00000,  11.63857,  60.00564,  -0.00000
   0.00000,   1.59821,  60.00709,  -0.00000
   0.00000,  -3.09526,  60.00836,  -0.00000
   0.00000,  -1.17136,  60.00876,  -0.00000
   0.00000,   6.57958,  60.00782,  -0.00000
   0.00000,  12.84177,  60.00693,  -0.00000
   0.00000,  19.56586,  60.00626,  -0.00000
   0.00000,  19.55004,  60.00641,  -0.00000
   0.00000,  20.00471,  60.00638,  -0.00000
   0.00000,  22.92786,  60.00570,  -0.00000
   0.00000,  26.10765,  60.00471,  -0.00000
   0.00000,  27.74383,  60.00415,  -0.00000
   0.00000,  28.23518,  60.00489,  -0.00000
   0.00000,  27.07696,  60.00619,  -0.00000
  -0.00000,  29.31266,  60.00718,  -0.00000
  -0.00000,  36.34122,  60.00666,  -0.00000
  -0.00000,  44.12461,  60.00509,  -0.00000
  -0.00000,  47.12255,  60.00318,  -0.00000
  -0.00000,  40.40089,  60.00174,  -0.00000
  -0.00000,  29.84711,  60.00210,  -0.00000
  -0.00000,  19.90693,  60.00330,   0.00000
  -0.00000,  14.63049,  60.00487,   0.00000
  -0.00000,  18.09286,  60.00488,   0.00000
