name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,40,106086265,,yes,,,,"POLYGON ((-76.5002622 42.439405, -76.500054 42.439415, -76.5000343 42.4390907, -76.5001075 42.4390872, -76.5002386 42.4390823, -76.5002406 42.4391177, -76.5002622 42.439405))",POINT (-76.5001471 42.4392487),610.7,6573.9
Taste of Thai Express,41,106289641,,retail,restaurant,,,"POLYGON ((-76.5080495 42.4378506, -76.5078385 42.437856, -76.5078334 42.4377469, -76.5080444 42.4377416, -76.5080495 42.4378506))",POINT (-76.5079414 42.4377988),210.4,2264.6
Dunkin',42,106289642,,retail,fast_food,,,"POLYGON ((-76.5080699 42.438157, -76.5077782 42.4381666, -76.5077731 42.438082, -76.5080648 42.4380724, -76.5080699 42.438157))",POINT (-76.5079215 42.4381195),225.8,2430.7
Quilters Corner,43,106289647,,yes,,,,"POLYGON ((-76.5073581 42.4393908, -76.5070638 42.4393991, -76.5070841 42.4397889, -76.5072868 42.4397831, -76.5072736 42.4395315, -76.5073654 42.4395289, -76.5073581 42.4393908))",POINT (-76.5071947 42.4395732),838.2,9022.5
Verizon,44,106292515,,retail,,,,"POLYGON ((-76.5083395 42.4311148, -76.5083167 42.4311352, -76.5082222 42.4310744, -76.5082803 42.4310274, -76.5082599 42.4306725, -76.5085681 42.4306656, -76.5085708 42.4307336, -76.5086326 42.4307323, -76.5086353 42.4308001, -76.5085732 42.4308015, -76.5085857 42.4311081, -76.5083395 42.4311148))",POINT (-76.5084264 42.4308903),1299.8,13991.2
Goodwill,45,106292516,,retail,,,,"POLYGON ((-76.5067093 42.4314635, -76.5062513 42.4314728, -76.506229 42.4308711, -76.506687 42.4308619, -76.5067093 42.4314635))",POINT (-76.5064691 42.4311673),2518.7,27110.7
,46,106292517,,,,pitch,,"POLYGON ((-76.5077297 42.432498, -76.5074373 42.4325054, -76.5074222 42.4321798, -76.5077145 42.4321724, -76.5077297 42.432498))",POINT (-76.5075759 42.4323389),870.4,9369.1
Texas Roadhouse,47,106292518,,retail,restaurant,,,"POLYGON ((-76.5077359 42.4308808, -76.5076239 42.4308839, -76.5076249 42.4309046, -76.5074226 42.4309101, -76.5074143 42.4307406, -76.5073721 42.4307418, -76.5073674 42.4306468, -76.5077238 42.4306372, -76.5077359 42.4308808))",POINT (-76.5075617 42.4307666),775.3,8345.3
Vitamin Shoppe Ithaca,48,106292519,,retail,,,,"POLYGON ((-76.5077218 42.43144, -76.5073126 42.4314566, -76.5072967 42.4312428, -76.5077059 42.4312262, -76.5077218 42.43144))",POINT (-76.5075092 42.4313414),801.5,8627.0
Ithaca Skate Park,49,106292520,,,,pitch,,"POLYGON ((-76.5069567 42.4318094, -76.5069705 42.4317738, -76.5070321 42.431759, -76.5073449 42.4317517, -76.507384 42.4317777, -76.5073974 42.4318348, -76.5074129 42.432037, -76.507421 42.4320737, -76.5074019 42.4321064, -76.5073524 42.4321282, -76.5073093 42.4321254, -76.5072674 42.4320991, -76.5072072 42.4320772, -76.5070146 42.4320261, -76.5069957 42.4320789, -76.5069931 42.4321333, -76.5071729 42.4323686, -76.5072392 42.4323945, -76.5071974 42.4324508, -76.5069875 42.4323695, -76.50691 42.4322678, -76.5069087 42.4320808, -76.5069602 42.4319432, -76.5069567 42.4318094))",POINT (-76.5071464 42.432017),1804.4,19422.4
The Westy,50,106297261,,yes,bar,,,"POLYGON ((-76.5070257 42.4396008, -76.5069026 42.439604, -76.5069023 42.4395978, -76.5068931 42.4394041, -76.5070162 42.439401, -76.5070257 42.4396008))",POINT (-76.5069594 42.4395025),224.9,2421.3
Diane's Downtown Automotive,51,106297267,,industrial,,,,"POLYGON ((-76.505729 42.4390603, -76.5054764 42.4390639, -76.505474 42.438976, -76.5057267 42.4389724, -76.505729 42.4390603))",POINT (-76.5056015 42.4390181),202.9,2183.9
Ithaca Human Services Building,52,106299371,,government,,,,"POLYGON ((-76.5031927 42.4395184, -76.5032149 42.4399156, -76.5031412 42.4399179, -76.5031538 42.440142, -76.5028887 42.4401501, -76.5028702 42.4398201, -76.5029226 42.4398185, -76.5029063 42.4395272, -76.5031927 42.4395184))",POINT (-76.5030404 42.43983),1634.8,17597.2
,53,106343174,,retail,,,,"POLYGON ((-76.5081231 42.4373331, -76.507914 42.4373393, -76.5079041 42.4371567, -76.5081133 42.4371505, -76.5081231 42.4373331))",POINT (-76.5080136 42.4372449),349.3,3760.3
,54,106343175,,retail,,,,"POLYGON ((-76.5064757 42.4360803, -76.5065037 42.4361113, -76.5065117 42.4361483, -76.5064977 42.4361956, -76.5064677 42.4362207, -76.5064357 42.4362443, -76.5064116 42.4362517, -76.5064197 42.4364053, -76.5063696 42.4364083, -76.5063716 42.436429, -76.5063276 42.436429, -76.5063296 42.4364644, -76.5060133 42.4364703, -76.5060133 42.4365014, -76.5059412 42.4365043, -76.5059412 42.4364718, -76.5059112 42.4364718, -76.5058972 42.4359872, -76.5058712 42.4359872, -76.5058712 42.4358676, -76.5065438 42.4358617, -76.5065498 42.4360803, -76.5064757 42.4360803))",POINT (-76.5061896 42.4361457),3210.0,34552.6
Sunoco,55,106343678,,yes,fuel,,,"POLYGON ((-76.4993881 42.4384825, -76.499272 42.4384863, -76.4992673 42.4383524, -76.4993843 42.4383496, -76.4993881 42.4384825))",POINT (-76.4993278 42.4384176),142.1,1529.7
Sunoco,56,106343679,,retail,,,,"POLYGON ((-76.4994232 42.4383103, -76.4991744 42.4383158, -76.499169 42.4382311, -76.4992077 42.4382299, -76.4992072 42.4382212, -76.4993794 42.4382157, -76.4993801 42.4382255, -76.49942 42.438225, -76.4994222 42.4382457, -76.4994232 42.4383103))",POINT (-76.499297 42.438267),210.1,2261.0
The Hotel Ithaca,57,106343681,,hotel,,,,"POLYGON ((-76.4991924 42.4375098, -76.49919 42.437448, -76.4991593 42.4374486, -76.4991573 42.4373983, -76.4993866 42.4373934, -76.4993881 42.4374319, -76.4996874 42.4374254, -76.4997025 42.4378062, -76.4996294 42.4378078, -76.4996315 42.437861, -76.49959 42.4378619, -76.4995907 42.4378798, -76.4996996 42.4378807, -76.4997065 42.4380822, -76.4990837 42.4381015, -76.4990753 42.4378968, -76.4991958 42.4378941, -76.4991872 42.4376826, -76.4991641 42.4376831, -76.499165 42.4377038, -76.4990936 42.4377054, -76.4990517 42.4377063, -76.4990424 42.4374757, -76.4990831 42.4374748, -76.4991608 42.4374731, -76.4991623 42.4375105, -76.4991924 42.4375098))",POINT (-76.4993926 42.4377526),3580.6,38541.2
,58,106693710,,yes,,,,"POLYGON ((-76.506628 42.4394018, -76.5066422 42.4396981, -76.5065334 42.4397009, -76.5065221 42.4394646, -76.5065192 42.4394047, -76.506628 42.4394018))",POINT (-76.5065807 42.4395514),294.7,3171.9
Citgo,59,106693713,,roof,fuel,,,"POLYGON ((-76.5059395 42.4391215, -76.5058605 42.4391955, -76.5057938 42.4391566, -76.505715 42.4391108, -76.505794 42.4390368, -76.5058671 42.4390794, -76.5059395 42.4391215))",POINT (-76.5058273 42.4391161),159.4,1715.3
Maru Ramen,60,106693723,,yes,restaurant,,,"POLYGON ((-76.5068931 42.4394041, -76.5067807 42.4394071, -76.5067854 42.4395062, -76.5068039 42.4395057, -76.5068084 42.4396002, -76.5069023 42.4395978, -76.5068931 42.4394041))",POINT (-76.5068454 42.439498),183.0,1970.2
Quilters Corner,61,106693726,,yes,,,,"POLYGON ((-76.5067256 42.4393993, -76.5067398 42.4396955, -76.5066422 42.4396981, -76.506628 42.4394018, -76.5067256 42.4393993))",POINT (-76.5066839 42.4395487),264.4,2845.8
,62,106693735,,yes,,,,"POLYGON ((-76.5063742 42.439414, -76.5063831 42.4396355, -76.506384 42.4396446, -76.5062767 42.4396472, -76.5062662 42.4394167, -76.5063742 42.439414))",POINT (-76.5063251 42.4395304),226.4,2436.5
